;Date;Low;High;Close;Open
4527;2017-12-29;85,5;86,05;85,54;85,63
4526;2017-12-28;85,55;85,93;85,72;85,9
4525;2017-12-27;85,215;85,98;85,71;85,65
4524;2017-12-26;85,03;85,5346;85,4;85,31
4523;2017-12-22;84,92;85,63;85,51;85,4
4522;2017-12-21;85,4;86,1;85,5;86,05
4521;2017-12-20;84,71;86,3;85,52;86,2
4520;2017-12-19;85,27;86,35;85,83;86,35
4519;2017-12-18;86,23;87,4999;86,38;87,12
4518;2017-12-15;84,88;87,09;86,85;85,26
4517;2017-12-14;84,53;85,8739;84,69;85,43
4516;2017-12-13;85,17;86,0;85,35;85,74
4515;2017-12-12;85,08;86,05;85,58;85,31
4514;2017-12-11;84,12;85,37;85,23;84,29
4513;2017-12-08;83,33;84,58;84,16;83,63
4512;2017-12-07;82,0;82,8;82,49;82,54
4511;2017-12-06;81,43;83,14;82,78;81,55
4510;2017-12-05;80,9801;82,68;81,59;81,34
4509;2017-12-04;80,7;84,4299;81,08;84,42
4508;2017-12-01;83,22;84,81;84,26;83,6
4507;2017-11-30;83,34;84,52;84,17;83,51
4506;2017-11-29;83,175;84,9172;83,34;84,71
4505;2017-11-28;84,02;85,06;84,88;84,07
4504;2017-11-27;83,3;83,98;83,87;83,31
4503;2017-11-24;82,78;83,43;83,26;83,01
4502;2017-11-22;83,04;83,9;83,11;83,83
4501;2017-11-21;82,74;83,84;83,72;82,74
4500;2017-11-20;82,25;82,59;82,53;82,4
4499;2017-11-17;82,24;83,12;82,4;83,12
4498;2017-11-16;82,94;83,42;83,2;83,1
4497;2017-11-15;82,69;83,69;82,98;83,47
4496;2017-11-14;82,98;84,1;84,05;83,5
4495;2017-11-13;83,46;83,94;83,93;83,66
4494;2017-11-10;83,23;84,095;83,87;83,79
4493;2017-11-09;82,9;84,27;84,09;84,11
4492;2017-11-08;83,83;84,61;84,56;84,14
4491;2017-11-07;83,93;84,9;84,27;84,77
4490;2017-11-06;84,0825;84,7;84,47;84,2
4489;2017-11-03;83,4;84,54;84,14;84,08
4488;2017-11-02;83,12;84,46;84,05;83,35
4487;2017-11-01;82,88;83,76;83,18;83,68
4486;2017-10-31;83,11;84,36;83,18;84,36
4485;2017-10-30;83,105;84,325;83,89;83,7
4484;2017-10-27;83,61;86,2;83,81;84,37
4483;2017-10-26;78,75;79,42;78,76;79,2
4482;2017-10-25;78,01;79,1;78,63;78,58
4481;2017-10-24;78,46;79,2;78,86;78,9
4480;2017-10-23;78,76;79,34;78,83;78,99
4479;2017-10-20;78,22;78,97;78,81;78,32
